ensemble_geneid	gene_name	Cow_ESF1	Cow_ESF2	Cow_SF1	Cow_SF2	Cow_SF3
ENSBTAG00000023216		0.0134425587291093	0	0	0	0
ENSBTAG00000023218	UBE2V2	117.57164779318	121.448981877078	89.5228440334744	84.3252444426376	92.3730818411159
ENSBTAG00000023247		0	0	0	0	0
ENSBTAG00000023258		3.13839846076704	2.85001857767213	2.98049027773008	3.58791879100057	4.14684471847866
ENSBTAG00000023259	OSBPL1A	26.8428411221641	25.6912643892015	62.9894573946443	58.3633653147543	59.2329662716307
ENSBTAG00000023270	CDH19	0	0	0	0	0
ENSBTAG00000023274		3.78427758006916	3.55097392773477	3.8365954433898	2.85769657131416	4.50391158268925
ENSBTAG00000023279		28.2752316599899	29.3949281932298	48.6815132369699	46.6876767771083	49.3178318304101
ENSBTAG00000023283	JAML	0.298645970738563	0.417893127128229	0.114381579437903	0.232356467795088	0.134276477173822
ENSBTAG00000023289		0.923552898232205	1.16308874678549	0.795872911328504	0.449096736356942	1.01216118551344
ENSBTAG00000023300		0	0	0	0	0
ENSBTAG00000023301		0	0	0	0	0
ENSBTAG00000023309		0.117937721063872	0.235166884016893	0.762247383970561	0.584966542130793	0.865000852045305
ENSBTAG00000023310		0	0	0	0	0
ENSBTAG00000023333	LENG1	12.2570844592174	13.1765149688262	14.9775961453835	17.861862533074	16.0081445773704
ENSBTAG00000023338		0.0161143125040246	0.00676459196201536	0.319390184488891	0.545379921057713	0.309735639299477
ENSBTAG00000023343	RPL28	1212.9311332384	1222.8473475939	928.525474470257	900.411620073362	968.130481367391
ENSBTAG00000023349		0	0	0	0	0
ENSBTAG00000023365		1.63435247076648	1.37216249022839	1.69008644101196	1.27158041443669	1.10225039212173
ENSBTAG00000023369	GRIN2D	17.0110910341702	14.875181042079	1.74398312173753	1.60426580383298	1.39063372734098
ENSBTAG00000023372		0.0799936230419186	0	0.1378692174099	0	0
ENSBTAG00000023374	FUT1	2.58928700300799	2.42965544799014	0.0437514008384447	0.0592515042478238	0.154083830758065
ENSBTAG00000023375	METTL6	13.4114860637482	13.4818211105552	43.6010312762887	41.5638321143647	40.2943799497332
ENSBTAG00000023377	SH3BP5	35.2602852204381	32.8267979576571	27.6167316318435	23.1806404061133	25.6660176412954
ENSBTAG00000023384		11.3415713109277	12.8524987984629	15.8881407077436	14.2142205148852	15.7125901672858
ENSBTAG00000023393	AIRE	0	0	0	0	0
ENSBTAG00000023398	UBASH3A	0	0	0	0	0
ENSBTAG00000023407	B3GALT5	0	0	0	0	0
ENSBTAG00000023411		0.0275960533638003	0	0	0	0
ENSBTAG00000023412	IZUMO3	0	0	0	0	0
ENSBTAG00000023415	LIN7B	3.47453504593946	3.94935188915771	7.278173000668	7.11176760360407	7.46256665855605
ENSBTAG00000023416	PPP2R3A	3.36105139115171	3.13122981376413	17.7247545903833	17.7490507071919	18.0514141178814
ENSBTAG00000023417	RUVBL2	77.86747674536	78.7688917639872	30.6940415602354	31.7510495009875	32.1228516008172
ENSBTAG00000023419		0	0	0	0	0
ENSBTAG00000023426	FAIM	1.56935158277824	1.40845755894532	0.932683288092677	0.884177894263418	0.547454523966496
ENSBTAG00000023429	PLS1	21.0145164350567	17.8439955412213	4.73849372069361	5.07798342552288	4.93385623187747
ENSBTAG00000023431		0	0	0.206803826115354	0	0
ENSBTAG00000023434		0	0	0	0	0
ENSBTAG00000023439		0	0	0	0	0
ENSBTAG00000023445	SIAH2	29.9180533389213	29.0868373133093	30.9741138796664	29.4602537442608	27.7440953493722
ENSBTAG00000023447		0	0	0	0	0
ENSBTAG00000023452	B9D2	23.1449057153719	26.3611027301611	13.0906169552659	12.1445957815896	9.55932737547213
ENSBTAG00000023453	C19orf54	3.99998903518294	3.55878839837022	6.89399150780035	6.96744201891693	7.97230171646958
ENSBTAG00000023462	RPS6	775.166486103656	799.175322582656	844.180819640059	875.739218508845	782.509598376068
ENSBTAG00000023464		3.60551689813722	4.44441871879801	8.80034017103805	10.3614466808231	10.1623527908075
ENSBTAG00000023471	RPL36	5.91851295760892	7.99894113591397	2.98553340848359	1.34774614484597	0.876205134042931
ENSBTAG00000023472	PPP1R14A	15.8466815565597	12.8434409085151	3.92100054314212	4.39458191228844	3.80937735517623
ENSBTAG00000023487	COX6B1	168.132901527461	161.397246960961	176.19945029442	194.833727917901	206.125885854681
ENSBTAG00000023507		0	0	0	0	0.142067828318381
ENSBTAG00000023511		0	0	0	0	0
ENSBTAG00000023513	DNAJC19	33.0005035833242	31.9826500426911	49.5611542533228	51.7637612142379	49.8085565252786
ENSBTAG00000023523	GKAP1	25.8062899258087	28.1570895377891	28.400354923258	28.2110704683588	25.115271091676
ENSBTAG00000023529	SPEF2	0.407443911306758	0.264334525958284	0.0638391491882861	0.0432279372409804	0.0749429768399297
ENSBTAG00000023535		0	0	0	0	0
ENSBTAG00000023541	C6orf10	0	0	0	0	0
ENSBTAG00000023542		0	0	0	0	0
ENSBTAG00000023546	FAM186A	0	0	0	0	0
ENSBTAG00000023549		0	0	0	0	0
ENSBTAG00000023551	MOB3C	8.16486531253579	8.9241229507528	11.6344684541111	11.4545726888374	9.92922436877398
ENSBTAG00000023556	OR10K2	0	0	0	0	0
ENSBTAG00000023562	KCNK6	7.99527317330219	8.33994224090964	4.38450539967933	6.22058763765686	5.14712195887162
ENSBTAG00000023563		0	0	0	0	0
ENSBTAG00000023593	GMNC	0	0	0	0	0
ENSBTAG00000023600	APOD	23.3528403373193	16.9184908894666	2.27210296373776	2.19789727263146	3.81042850787344
ENSBTAG00000023601	CD3EAP	16.208034347399	16.6263435914505	9.3453898955783	9.69853488739343	9.42064283323585
ENSBTAG00000023607	HACD2	81.3659148609747	82.8268976471056	127.025321547495	124.413901339443	131.164446357152
ENSBTAG00000023610		19.9387621181097	20.3942793945804	43.589199419618	39.2630368628522	43.5547346258051
ENSBTAG00000023611	ZBTB32	0	0	0	0	0
ENSBTAG00000023614	NUDT19	16.5489259085175	16.75915002251	22.5141321509191	21.7543618050275	20.6392474713894
ENSBTAG00000023617		0	0	0	0	0
ENSBTAG00000023623		0	0	0	0	0
ENSBTAG00000023628	C6orf47	10.9802208992876	9.62586193204307	13.3127759000903	11.9655562116256	12.6147925510578
ENSBTAG00000023629		9.11927302678416	10.9807737509303	11.5810142624035	15.4038285647489	11.1676103019952
ENSBTAG00000023632		1.51957351862797	1.24976020919531	3.52761771874959	4.12591097612949	4.01570131952331
ENSBTAG00000023635	CLEC6A	0	0.0472784699602059	0.194108937779861	0.131438609175757	0
ENSBTAG00000023648		0	0	0	0	0
ENSBTAG00000023652	PROS1	227.26309203405	199.143981440519	227.778526514124	217.465234060458	203.675882029133
ENSBTAG00000023659		203.724947035499	183.519073728786	1.62986958444676	2.207294458125	3.55338297432351
ENSBTAG00000023666		0	0	0	0	0
ENSBTAG00000023668		0	0	0	0	0
ENSBTAG00000023670		27.6300843713428	24.8392176705516	13.4802709256105	14.2873178763262	6.02036312827971
ENSBTAG00000023675		9.04015126884091	9.85962933031473	16.7975045975262	17.0010647889406	19.161737061932
ENSBTAG00000023697		0	0.0918293358843525	0	0.255294221667348	0.221297963341222
ENSBTAG00000023718	MRAP	0	0	0	0	0
ENSBTAG00000023726		0	0	0	0	0
ENSBTAG00000023730	TUBB3	43.3801438657013	48.8160339232367	3.36277919652338	3.41560022128696	2.56599353720746
ENSBTAG00000023731	MC1R	0.844524337837673	1.00902137202578	0.727769946614379	0.606524250221337	0.591475995681844
ENSBTAG00000023734	PARD6A	1.27618846633279	1.03574149972485	2.41946555579461	1.78725049723528	2.4099464070694
ENSBTAG00000023736	CDC42EP3	279.032154056587	270.492672280341	166.606395928902	175.40030271523	165.968035209621
ENSBTAG00000023744	YPEL5	44.2523516733927	42.5122141569319	128.811764074092	120.745186650252	118.255404129157
ENSBTAG00000023745	BANP	8.75269147161414	9.23572170965651	12.0917082617482	10.8905151806203	11.4385869435223
ENSBTAG00000023748		0	0	0	0	0
ENSBTAG00000023752	PABPN1L	0	0	0	0.152065286675121	0
ENSBTAG00000023765	C16orf46	1.73665544986198	1.78206548349375	2.24484763920612	3.26534085050989	1.95207703032075
ENSBTAG00000023776	C9orf116	25.3600562607574	23.4966491183025	30.2703505134297	31.033167724761	32.7125012477618
ENSBTAG00000023780	SYCE1L	2.18173083796255	1.45274981107871	2.8525797602217	4.03878160204203	4.1098193192042
ENSBTAG00000023784	TMEM88B	0.136610406684568	0.133810561496799	0.43165538405314	0.372005991541012	0.506735128228616
ENSBTAG00000023787	TOR4A	12.3905601567765	11.8498199524453	4.09441088657178	3.80536841469757	4.2410911893454
ENSBTAG00000023788	EXD3	0.759386976750448	0.879396955061594	2.16629864262179	1.7113645798669	3.01992248316864
ENSBTAG00000023792		15.9718774335578	9.48483825435398	10.7424672415156	26.6718346655922	26.272817565637
